source,prediction,detector,native,model,id
AI,AI,HFOpenAI,NA,GPT4,166
AI,AI,Sapling,NA,GPT4,649
Human,AI,Crossplag,No,Human,332
Human,Human,Sapling,Yes,Human,920
Human,Human,Sapling,No,Human,275
Human,Human,ZeroGPT,Yes,Human,188
Human,AI,GPTZero,No,Human,276
Human,AI,ZeroGPT,No,Human,280
AI,Human,Quil,NA,GPT4,558
AI,AI,ZeroGPT,NA,GPT3,686
AI,AI,Sapling,NA,GPT3,689
Human,Human,Crossplag,Yes,Human,741
AI,AI,Sapling,NA,GPT4,489
AI,Human,OriginalityAI,NA,GPT4,57
AI,Human,Sapling,NA,GPT4,286
AI,Human,GPTZero,NA,GPT4,484
AI,Human,Quil,NA,GPT4,639
AI,Human,ZeroGPT,NA,GPT3,590
Human,Human,ZeroGPT,Yes,Human,879
AI,Human,OriginalityAI,NA,GPT4,376
AI,AI,HFOpenAI,NA,GPT4,105
AI,Human,ZeroGPT,NA,GPT3,23
AI,Human,Quil,NA,GPT4,288
AI,AI,ZeroGPT,NA,GPT3,422
AI,Human,HFOpenAI,NA,GPT4,287
AI,AI,Quil,NA,GPT3,223
Human,Human,HFOpenAI,Yes,Human,174
AI,Human,Crossplag,NA,GPT4,229
AI,Human,GPTZero,NA,GPT4,648
AI,Human,Sapling,NA,GPT3,12
AI,AI,Crossplag,NA,GPT4,171
Human,Human,ZeroGPT,Yes,Human,793
AI,Human,OriginalityAI,NA,GPT4,503
AI,Human,Quil,NA,GPT4,673
Human,AI,OriginalityAI,No,Human,325
AI,AI,Crossplag,NA,GPT4,228
Human,AI,OriginalityAI,No,Human,543
AI,Human,GPTZero,NA,GPT4,208
Human,Human,Sapling,Yes,Human,388
AI,Human,OriginalityAI,NA,GPT4,677
Human,Human,HFOpenAI,Yes,Human,862
Human,Human,Crossplag,No,Human,390
AI,AI,ZeroGPT,NA,GPT3,661
AI,Human,Crossplag,NA,GPT4,503
AI,Human,OriginalityAI,NA,GPT4,603
Human,Human,Quil,No,Human,542
AI,AI,HFOpenAI,NA,GPT4,455
AI,Human,Crossplag,NA,GPT4,129
Human,Human,GPTZero,No,Human,296
AI,AI,OriginalityAI,NA,GPT3,522
Human,Human,ZeroGPT,Yes,Human,184
AI,Human,HFOpenAI,NA,GPT4,124
AI,AI,OriginalityAI,NA,GPT4,922
AI,Human,Crossplag,NA,GPT4,649
AI,Human,Quil,NA,GPT4,554
Human,Human,ZeroGPT,Yes,Human,821
Human,Human,Crossplag,Yes,Human,845
Human,Human,HFOpenAI,Yes,Human,775
AI,Human,Crossplag,NA,GPT3,532
AI,AI,OriginalityAI,NA,GPT4,326
Human,Human,GPTZero,Yes,Human,361
AI,AI,OriginalityAI,NA,GPT4,106
Human,AI,Crossplag,No,Human,306
AI,Human,OriginalityAI,NA,GPT4,311
Human,Human,ZeroGPT,Yes,Human,135
Human,AI,HFOpenAI,No,Human,345
AI,AI,GPTZero,NA,GPT3,532
AI,Human,OriginalityAI,NA,GPT4,727
Human,Human,GPTZero,Yes,Human,834
AI,Human,Quil,NA,GPT4,298
Human,AI,OriginalityAI,No,Human,344
AI,AI,ZeroGPT,NA,GPT3,462
Human,Human,GPTZero,Yes,Human,763
AI,Human,HFOpenAI,NA,GPT3,604
Human,Human,Crossplag,Yes,Human,192
AI,Human,ZeroGPT,NA,GPT3,564
AI,Human,HFOpenAI,NA,GPT4,198
AI,Human,HFOpenAI,NA,GPT4,182
Human,Human,ZeroGPT,Yes,Human,824
AI,Human,GPTZero,NA,GPT4,660
AI,Human,Quil,NA,GPT4,665
AI,Human,HFOpenAI,NA,GPT4,123
AI,Human,Quil,NA,GPT4,360
AI,Human,GPTZero,NA,GPT4,720
AI,AI,Quil,NA,GPT4,559
AI,AI,Crossplag,NA,GPT4,162
AI,Human,GPTZero,NA,GPT4,355
Human,Human,GPTZero,No,Human,371
Human,Human,OriginalityAI,Yes,Human,148
AI,Human,Sapling,NA,GPT4,598
AI,Human,Quil,NA,GPT4,57
AI,Human,GPTZero,NA,GPT3,10
AI,Human,Sapling,NA,GPT4,357
AI,Human,Sapling,NA,GPT4,114
AI,Human,ZeroGPT,NA,GPT4,673
AI,Human,Crossplag,NA,GPT3,201
Human,Human,Quil,Yes,Human,919
AI,Human,Sapling,NA,GPT4,600
AI,AI,GPTZero,NA,GPT3,508
Human,Human,ZeroGPT,Yes,Human,771
AI,Human,Sapling,NA,GPT4,702
AI,Human,Quil,NA,GPT4,723
Human,Human,HFOpenAI,Yes,Human,827
AI,AI,OriginalityAI,NA,GPT4,536
AI,Human,Crossplag,NA,GPT4,914
AI,AI,HFOpenAI,NA,GPT3,462
AI,Human,GPTZero,NA,GPT3,202
AI,AI,GPTZero,NA,GPT4,429
Human,Human,GPTZero,Yes,Human,133
AI,AI,OriginalityAI,NA,GPT4,179
AI,Human,Sapling,NA,GPT4,81
AI,Human,OriginalityAI,NA,GPT4,272
Human,Human,OriginalityAI,Yes,Human,116
AI,Human,ZeroGPT,NA,GPT3,732
AI,AI,Quil,NA,GPT3,579
AI,Human,Sapling,NA,GPT4,611
AI,Human,GPTZero,NA,GPT4,674
AI,AI,HFOpenAI,NA,GPT4,251
AI,Human,Sapling,NA,GPT4,316
Human,Human,Sapling,Yes,Human,362
AI,Human,Quil,NA,GPT4,727
Human,Human,Quil,Yes,Human,177
Human,Human,Quil,Yes,Human,181
AI,AI,Sapling,NA,GPT3,906
Human,Human,Crossplag,Yes,Human,780
AI,AI,GPTZero,NA,GPT3,63
AI,AI,OriginalityAI,NA,GPT3,689
Human,AI,Quil,No,Human,431
AI,AI,Quil,NA,GPT3,541
AI,AI,HFOpenAI,NA,GPT4,96
AI,Human,Sapling,NA,GPT3,683
AI,Human,Sapling,NA,GPT4,527
Human,Human,GPTZero,No,Human,400
Human,Human,GPTZero,Yes,Human,772
AI,AI,Quil,NA,GPT3,905
AI,Human,GPTZero,NA,GPT4,139
Human,AI,Quil,No,Human,370
AI,Human,Quil,NA,GPT4,557
AI,Human,Quil,NA,GPT3,683
Human,AI,HFOpenAI,No,Human,217
AI,Human,HFOpenAI,NA,GPT3,384
Human,Human,Quil,No,Human,76
Human,Human,Crossplag,Yes,Human,194
Human,Human,ZeroGPT,Yes,Human,133
Human,Human,Crossplag,No,Human,307
AI,AI,OriginalityAI,NA,GPT4,399
AI,Human,Crossplag,NA,GPT3,7
AI,Human,GPTZero,NA,GPT3,630
AI,Human,Crossplag,NA,GPT4,346
AI,Human,GPTZero,NA,GPT4,102
AI,AI,OriginalityAI,NA,GPT3,487
AI,AI,Sapling,NA,GPT3,573
AI,AI,ZeroGPT,NA,GPT3,659
AI,Human,HFOpenAI,NA,GPT3,384
AI,Human,Crossplag,NA,GPT4,895
AI,Human,Quil,NA,GPT3,564
Human,AI,ZeroGPT,No,Human,430
Human,AI,GPTZero,No,Human,70
AI,Human,OriginalityAI,NA,GPT4,454
Human,Human,HFOpenAI,Yes,Human,456
AI,Human,ZeroGPT,NA,GPT4,709
Human,Human,Crossplag,Yes,Human,396
AI,Human,HFOpenAI,NA,GPT4,330
AI,AI,Crossplag,NA,GPT3,905
Human,AI,Sapling,No,Human,277
AI,AI,GPTZero,NA,GPT4,447
AI,Human,Sapling,NA,GPT3,595
Human,Human,OriginalityAI,Yes,Human,789
AI,Human,ZeroGPT,NA,GPT3,40
AI,AI,Sapling,NA,GPT3,570
Human,AI,OriginalityAI,Yes,Human,813
AI,Human,ZeroGPT,NA,GPT4,433
Human,Human,GPTZero,Yes,Human,757
AI,Human,ZeroGPT,NA,GPT3,36
Human,Human,OriginalityAI,Yes,Human,825
AI,Human,OriginalityAI,NA,GPT3,40
AI,Human,Sapling,NA,GPT4,386
AI,Human,ZeroGPT,NA,GPT4,601
AI,Human,HFOpenAI,NA,GPT4,441
AI,Human,ZeroGPT,NA,GPT3,574
Human,Human,ZeroGPT,Yes,Human,48
AI,AI,HFOpenAI,NA,GPT3,585
AI,Human,Sapling,NA,GPT3,533
AI,Human,GPTZero,NA,GPT3,641
Human,Human,GPTZero,Yes,Human,227
Human,AI,Quil,No,Human,302
Human,Human,Quil,Yes,Human,240
AI,Human,Sapling,NA,GPT4,578
AI,Human,OriginalityAI,NA,GPT4,716
AI,Human,HFOpenAI,NA,GPT3,532
Human,Human,OriginalityAI,Yes,Human,913
Human,AI,Sapling,No,Human,349
Human,AI,Quil,No,Human,345
AI,Human,Quil,NA,GPT3,897
Human,Human,Quil,Yes,Human,913
Human,Human,GPTZero,Yes,Human,774
AI,Human,GPTZero,NA,GPT4,598
AI,Human,Crossplag,NA,GPT3,18
AI,AI,HFOpenAI,NA,GPT4,134
Human,Human,HFOpenAI,Yes,Human,421
Human,Human,Sapling,Yes,Human,219
Human,Human,OriginalityAI,Yes,Human,815
AI,Human,Quil,NA,GPT4,707
Human,Human,Quil,Yes,Human,117
AI,AI,ZeroGPT,NA,GPT3,220
AI,Human,Sapling,NA,GPT4,557
AI,Human,GPTZero,NA,GPT3,918
AI,Human,Sapling,NA,GPT4,477
AI,Human,HFOpenAI,NA,GPT4,153
Human,Human,Sapling,Yes,Human,130
Human,Human,GPTZero,No,Human,338
Human,Human,OriginalityAI,Yes,Human,864
AI,AI,Crossplag,NA,GPT3,510
Human,Human,ZeroGPT,No,Human,320
AI,Human,GPTZero,NA,GPT3,14
Human,Human,GPTZero,Yes,Human,147
AI,Human,ZeroGPT,NA,GPT4,410
AI,AI,Sapling,NA,GPT4,722
AI,AI,OriginalityAI,NA,GPT3,444
Human,Human,GPTZero,Yes,Human,365
AI,Human,HFOpenAI,NA,GPT4,614
AI,Human,Crossplag,NA,GPT4,357
AI,Human,GPTZero,NA,GPT4,253
Human,Human,GPTZero,Yes,Human,746
AI,AI,Crossplag,NA,GPT3,37
AI,AI,Sapling,NA,GPT4,319
AI,Human,Quil,NA,GPT3,202
AI,Human,ZeroGPT,NA,GPT3,585
AI,Human,ZeroGPT,NA,GPT4,156
Human,Human,Quil,Yes,Human,147
AI,Human,Crossplag,NA,GPT4,256
Human,AI,Quil,No,Human,334
Human,Human,OriginalityAI,Yes,Human,779
AI,AI,Sapling,NA,GPT4,378
Human,Human,HFOpenAI,Yes,Human,45
AI,Human,Quil,NA,GPT4,645
Human,AI,ZeroGPT,No,Human,390
AI,Human,Crossplag,NA,GPT4,650
AI,Human,HFOpenAI,NA,GPT3,29
AI,Human,GPTZero,NA,GPT3,31
Human,AI,Sapling,No,Human,525
Human,Human,GPTZero,Yes,Human,879
Human,AI,Quil,No,Human,403
AI,AI,HFOpenAI,NA,GPT3,629
Human,Human,Crossplag,Yes,Human,877
Human,AI,Sapling,No,Human,296
Human,AI,Quil,No,Human,278
AI,Human,HFOpenAI,NA,GPT3,384
Human,Human,Crossplag,No,Human,277
Human,Human,GPTZero,Yes,Human,412
AI,AI,Quil,NA,GPT4,43
AI,Human,ZeroGPT,NA,GPT4,229
Human,Human,Crossplag,Yes,Human,793
AI,Human,ZeroGPT,NA,GPT4,626
AI,Human,ZeroGPT,NA,GPT4,613
AI,Human,Sapling,NA,GPT4,705
AI,AI,GPTZero,NA,GPT4,163
AI,AI,GPTZero,NA,GPT4,234
AI,Human,GPTZero,NA,GPT4,644
Human,Human,ZeroGPT,Yes,Human,740
AI,AI,OriginalityAI,NA,GPT3,17
AI,Human,Sapling,NA,GPT4,594
Human,Human,Quil,Yes,Human,59
Human,Human,ZeroGPT,Yes,Human,141
AI,AI,Crossplag,NA,GPT4,230
Human,Human,Crossplag,Yes,Human,866
Human,Human,Sapling,Yes,Human,164
AI,Human,Quil,NA,GPT4,720
AI,Human,ZeroGPT,NA,GPT4,693
AI,Human,ZeroGPT,NA,GPT3,31
Human,Human,ZeroGPT,Yes,Human,805
AI,Human,Crossplag,NA,GPT3,28
AI,Human,Sapling,NA,GPT4,655
AI,Human,Crossplag,NA,GPT4,100
Human,AI,OriginalityAI,No,Human,280
Human,AI,HFOpenAI,No,Human,534
AI,Human,Sapling,NA,GPT4,265
AI,Human,Quil,NA,GPT4,616
Human,AI,OriginalityAI,No,Human,542
Human,Human,Sapling,Yes,Human,402
Human,Human,Sapling,Yes,Human,209
AI,Human,Crossplag,NA,GPT4,447
Human,AI,HFOpenAI,No,Human,267
AI,Human,ZeroGPT,NA,GPT4,428
AI,AI,ZeroGPT,NA,GPT3,541
AI,Human,Sapling,NA,GPT4,163
AI,Human,Sapling,NA,GPT3,444
Human,Human,GPTZero,Yes,Human,421
Human,AI,OriginalityAI,No,Human,924
Human,Human,Sapling,Yes,Human,549
AI,Human,OriginalityAI,NA,GPT4,346
AI,Human,Crossplag,NA,GPT3,586
AI,Human,GPTZero,NA,GPT4,625
AI,AI,ZeroGPT,NA,GPT3,487
Human,Human,ZeroGPT,Yes,Human,227
AI,Human,Sapling,NA,GPT4,720
AI,Human,ZeroGPT,NA,GPT4,166
AI,Human,Sapling,NA,GPT4,528
AI,AI,OriginalityAI,NA,GPT4,425
AI,AI,Quil,NA,GPT4,489
AI,Human,ZeroGPT,NA,GPT3,619
Human,AI,Crossplag,No,Human,349
AI,Human,GPTZero,NA,GPT4,667
AI,Human,OriginalityAI,NA,GPT3,61
AI,Human,GPTZero,NA,GPT3,612
Human,Human,HFOpenAI,Yes,Human,860
AI,Human,GPTZero,NA,GPT4,206
AI,Human,GPTZero,NA,GPT4,723
AI,Human,OriginalityAI,NA,GPT4,270
AI,Human,OriginalityAI,NA,GPT4,153
AI,Human,Crossplag,NA,GPT4,232
AI,AI,OriginalityAI,NA,GPT3,482
AI,Human,Sapling,NA,GPT4,161
AI,AI,GPTZero,NA,GPT3,211
Human,Human,HFOpenAI,Yes,Human,252
Human,Human,HFOpenAI,Yes,Human,774
Human,Human,GPTZero,Yes,Human,46
AI,AI,OriginalityAI,NA,GPT4,492
Human,AI,Sapling,No,Human,534
AI,AI,ZeroGPT,NA,GPT3,593
AI,Human,HFOpenAI,NA,GPT3,656
AI,Human,Sapling,NA,GPT4,601
AI,Human,Sapling,NA,GPT4,159
AI,Human,Crossplag,NA,GPT3,203
AI,Human,GPTZero,NA,GPT3,6
Human,Human,Crossplag,Yes,Human,184
Human,AI,ZeroGPT,No,Human,263
AI,Human,HFOpenAI,NA,GPT3,584
AI,Human,GPTZero,NA,GPT3,387
AI,AI,Quil,NA,GPT3,533
AI,AI,Quil,NA,GPT3,487
AI,Human,ZeroGPT,NA,GPT3,631
AI,AI,Sapling,NA,GPT3,565
Human,Human,OriginalityAI,No,Human,338
AI,AI,Crossplag,NA,GPT3,565
AI,Human,Quil,NA,GPT3,461
AI,AI,Crossplag,NA,GPT4,87
AI,Human,GPTZero,NA,GPT4,655
AI,Human,Crossplag,NA,GPT4,208
AI,Human,OriginalityAI,NA,GPT3,539
AI,Human,HFOpenAI,NA,GPT4,894
Human,Human,Crossplag,Yes,Human,838
Human,Human,Crossplag,Yes,Human,840
AI,Human,HFOpenAI,NA,GPT4,375
AI,Human,OriginalityAI,NA,GPT4,401
Human,Human,HFOpenAI,Yes,Human,86
AI,Human,OriginalityAI,NA,GPT3,2
AI,Human,OriginalityAI,NA,GPT4,702
Human,Human,Crossplag,No,Human,76
AI,Human,Crossplag,NA,GPT3,64
AI,Human,Quil,NA,GPT4,481
Human,Human,OriginalityAI,Yes,Human,782
AI,Human,ZeroGPT,NA,GPT4,378
Human,Human,OriginalityAI,Yes,Human,845
Human,Human,OriginalityAI,Yes,Human,184
AI,Human,Quil,NA,GPT4,118
Human,AI,Crossplag,Yes,Human,802
Human,Human,GPTZero,Yes,Human,548
Human,Human,Crossplag,Yes,Human,835
AI,Human,ZeroGPT,NA,GPT3,896
Human,Human,Quil,Yes,Human,73
Human,Human,ZeroGPT,Yes,Human,858
AI,Human,OriginalityAI,NA,GPT4,559
AI,Human,HFOpenAI,NA,GPT4,669
AI,Human,OriginalityAI,NA,GPT3,6
AI,AI,Sapling,NA,GPT3,58
AI,Human,HFOpenAI,NA,GPT4,607
AI,Human,OriginalityAI,NA,GPT4,500
AI,Human,OriginalityAI,NA,GPT4,705
Human,Human,ZeroGPT,Yes,Human,794
AI,Human,Crossplag,NA,GPT3,284
AI,Human,GPTZero,NA,GPT3,585
AI,Human,Crossplag,NA,GPT4,363
AI,Human,ZeroGPT,NA,GPT3,384
AI,AI,Crossplag,NA,GPT4,134
AI,Human,GPTZero,NA,GPT3,5
Human,Human,HFOpenAI,Yes,Human,176
AI,Human,Quil,NA,GPT4,654
AI,Human,OriginalityAI,NA,GPT3,420
Human,Human,Sapling,Yes,Human,391
AI,Human,GPTZero,NA,GPT4,623
Human,Human,GPTZero,Yes,Human,122
AI,Human,HFOpenAI,NA,GPT4,491
Human,AI,Crossplag,No,Human,908
AI,Human,Quil,NA,GPT4,479
Human,Human,Sapling,Yes,Human,337
AI,Human,Quil,NA,GPT4,311
AI,Human,GPTZero,NA,GPT4,503
Human,Human,OriginalityAI,Yes,Human,364
AI,Human,OriginalityAI,NA,GPT4,253
Human,Human,Sapling,No,Human,196
Human,Human,Crossplag,Yes,Human,365
Human,Human,Quil,Yes,Human,200
AI,Human,HFOpenAI,NA,GPT4,113
Human,AI,Quil,No,Human,215
AI,Human,Sapling,NA,GPT4,723
Human,Human,GPTZero,Yes,Human,791
AI,AI,Sapling,NA,GPT3,442
Human,Human,Sapling,Yes,Human,110
AI,Human,Quil,NA,GPT4,614
Human,AI,GPTZero,Yes,Human,801
AI,AI,ZeroGPT,NA,GPT3,572
AI,AI,OriginalityAI,NA,GPT4,330
Human,Human,Quil,Yes,Human,292
AI,Human,Quil,NA,GPT4,206
Human,Human,GPTZero,Yes,Human,200
Human,Human,Crossplag,Yes,Human,389
AI,AI,ZeroGPT,NA,GPT3,565
AI,AI,GPTZero,NA,GPT3,577
Human,Human,OriginalityAI,Yes,Human,762
Human,Human,ZeroGPT,Yes,Human,59
AI,Human,Quil,NA,GPT3,662
AI,AI,ZeroGPT,NA,GPT4,234
AI,Human,HFOpenAI,NA,GPT3,627
Human,Human,Sapling,Yes,Human,132
AI,Human,Quil,NA,GPT4,690
Human,Human,HFOpenAI,Yes,Human,792
AI,AI,ZeroGPT,NA,GPT4,326
AI,Human,Crossplag,NA,GPT4,411
AI,Human,Quil,NA,GPT4,912
Human,Human,GPTZero,Yes,Human,473
AI,AI,HFOpenAI,NA,GPT4,156
AI,Human,Crossplag,NA,GPT3,610
Human,Human,GPTZero,Yes,Human,776
AI,AI,Crossplag,NA,GPT4,427
AI,Human,Crossplag,NA,GPT3,683
Human,AI,Quil,Yes,Human,173
AI,AI,Sapling,NA,GPT3,641
AI,Human,Crossplag,NA,GPT3,521
Human,Human,Crossplag,Yes,Human,112
Human,Human,HFOpenAI,Yes,Human,854
AI,AI,Sapling,NA,GPT3,638
Human,Human,OriginalityAI,Yes,Human,79
AI,AI,Quil,NA,GPT3,7
AI,AI,Crossplag,NA,GPT3,537
Human,Human,HFOpenAI,Yes,Human,347
AI,AI,Sapling,NA,GPT4,120
Human,Human,Crossplag,Yes,Human,157
AI,AI,OriginalityAI,NA,GPT4,102
Human,Human,HFOpenAI,Yes,Human,796
AI,Human,Crossplag,NA,GPT4,469
AI,AI,Sapling,NA,GPT3,493
AI,AI,Sapling,NA,GPT4,90
AI,Human,OriginalityAI,NA,GPT4,340
AI,Human,GPTZero,NA,GPT3,647
AI,Human,GPTZero,NA,GPT3,703
AI,Human,Sapling,NA,GPT4,696
AI,Human,Quil,NA,GPT3,570
Human,Human,HFOpenAI,Yes,Human,848
AI,Human,ZeroGPT,NA,GPT4,411
AI,Human,Crossplag,NA,GPT3,21
AI,AI,HFOpenAI,NA,GPT4,429
AI,Human,OriginalityAI,NA,GPT4,526
Human,Human,GPTZero,Yes,Human,736
AI,Human,GPTZero,NA,GPT4,187
AI,AI,OriginalityAI,NA,GPT4,189
Human,Human,GPTZero,Yes,Human,273
AI,Human,OriginalityAI,NA,GPT4,648
AI,AI,Quil,NA,GPT4,297
AI,Human,Sapling,NA,GPT4,479
AI,Human,GPTZero,NA,GPT3,26
Human,Human,Sapling,Yes,Human,119
Human,AI,OriginalityAI,No,Human,242
Human,Human,Quil,Yes,Human,419
AI,AI,Quil,NA,GPT4,513
Human,AI,ZeroGPT,Yes,Human,77
AI,Human,Quil,NA,GPT4,621
AI,Human,GPTZero,NA,GPT4,681
AI,AI,OriginalityAI,NA,GPT3,893
AI,Human,Sapling,NA,GPT4,921
Human,Human,ZeroGPT,Yes,Human,194
AI,AI,GPTZero,NA,GPT3,570
Human,Human,GPTZero,Yes,Human,848
AI,Human,HFOpenAI,NA,GPT4,282
Human,Human,ZeroGPT,No,Human,216
Human,Human,Crossplag,Yes,Human,882
AI,Human,Sapling,NA,GPT4,440
Human,Human,Crossplag,Yes,Human,769
AI,Human,Sapling,NA,GPT4,517
Human,Human,ZeroGPT,Yes,Human,165
AI,Human,OriginalityAI,NA,GPT4,305
Human,Human,HFOpenAI,Yes,Human,108
AI,Human,HFOpenAI,NA,GPT3,461
Human,Human,GPTZero,Yes,Human,874
Human,Human,ZeroGPT,Yes,Human,807
Human,Human,HFOpenAI,Yes,Human,850
AI,Human,ZeroGPT,NA,GPT4,441
AI,Human,Quil,NA,GPT4,179
AI,Human,Quil,NA,GPT3,1
Human,Human,Crossplag,No,Human,497
AI,Human,Crossplag,NA,GPT3,570
Human,Human,HFOpenAI,Yes,Human,177
AI,Human,Crossplag,NA,GPT4,677
AI,Human,Crossplag,NA,GPT4,664
AI,AI,GPTZero,NA,GPT3,17
AI,AI,Crossplag,NA,GPT4,592
AI,Human,GPTZero,NA,GPT3,33
Human,Human,ZeroGPT,No,Human,260
AI,AI,Sapling,NA,GPT3,577
AI,Human,OriginalityAI,NA,GPT4,481
Human,Human,HFOpenAI,Yes,Human,878
AI,Human,ZeroGPT,NA,GPT4,248
AI,Human,HFOpenAI,NA,GPT4,447
Human,AI,OriginalityAI,No,Human,356
Human,Human,Sapling,Yes,Human,143
AI,AI,HFOpenAI,NA,GPT4,449
AI,AI,Sapling,NA,GPT4,602
Human,Human,Crossplag,Yes,Human,748
Human,Human,ZeroGPT,Yes,Human,880
Human,Human,OriginalityAI,Yes,Human,877
AI,Human,ZeroGPT,NA,GPT4,414
Human,Human,Quil,Yes,Human,902
Human,Human,Crossplag,Yes,Human,79
Human,Human,GPTZero,Yes,Human,816
Human,Human,Sapling,Yes,Human,295
Human,Human,ZeroGPT,Yes,Human,872
Human,AI,GPTZero,No,Human,884
Human,AI,OriginalityAI,No,Human,304
AI,Human,Quil,NA,GPT4,681
Human,Human,Crossplag,Yes,Human,93
AI,AI,Crossplag,NA,GPT3,633
Human,Human,OriginalityAI,No,Human,196
Human,Human,OriginalityAI,Yes,Human,885
AI,Human,OriginalityAI,NA,GPT3,633
AI,Human,ZeroGPT,NA,GPT3,706
Human,Human,OriginalityAI,Yes,Human,192
AI,Human,Crossplag,NA,GPT4,376
Human,AI,OriginalityAI,No,Human,310
Human,Human,OriginalityAI,Yes,Human,549
AI,Human,Quil,NA,GPT4,492
AI,Human,Crossplag,NA,GPT4,491
AI,Human,GPTZero,NA,GPT4,124
AI,Human,Sapling,NA,GPT3,7
Human,Human,OriginalityAI,Yes,Human,218
AI,Human,Quil,NA,GPT4,379
AI,Human,ZeroGPT,NA,GPT4,652
AI,Human,Sapling,NA,GPT4,354
Human,Human,OriginalityAI,Yes,Human,436
AI,Human,ZeroGPT,NA,GPT4,231
AI,Human,Sapling,NA,GPT4,622
Human,Human,OriginalityAI,Yes,Human,746
Human,Human,ZeroGPT,No,Human,400
AI,Human,ZeroGPT,NA,GPT4,675
AI,AI,Sapling,NA,GPT3,662
AI,Human,ZeroGPT,NA,GPT4,268
Human,Human,HFOpenAI,Yes,Human,776
Human,AI,ZeroGPT,No,Human,356
AI,AI,Crossplag,NA,GPT3,223
AI,Human,GPTZero,NA,GPT4,168
AI,AI,Quil,NA,GPT4,156
AI,AI,Sapling,NA,GPT4,483
Human,Human,Crossplag,Yes,Human,762
Human,Human,OriginalityAI,Yes,Human,768
AI,AI,GPTZero,NA,GPT4,152
Human,Human,Quil,Yes,Human,445
Human,Human,ZeroGPT,Yes,Human,792
Human,Human,Crossplag,Yes,Human,289
AI,Human,OriginalityAI,NA,GPT4,265
AI,Human,Sapling,NA,GPT4,618
AI,Human,Crossplag,NA,GPT3,612
Human,AI,GPTZero,No,Human,76
Human,Human,ZeroGPT,Yes,Human,200
AI,Human,Crossplag,NA,GPT4,78
Human,Human,OriginalityAI,Yes,Human,902
AI,Human,ZeroGPT,NA,GPT4,316
Human,Human,Crossplag,Yes,Human,804
AI,AI,Crossplag,NA,GPT4,137
AI,Human,HFOpenAI,NA,GPT3,686
AI,Human,HFOpenAI,NA,GPT3,896
AI,Human,HFOpenAI,NA,GPT4,552
AI,AI,Crossplag,NA,GPT4,644
AI,AI,OriginalityAI,NA,GPT4,511
AI,Human,Crossplag,NA,GPT4,226
AI,Human,Quil,NA,GPT4,600
Human,Human,Crossplag,Yes,Human,746
AI,AI,OriginalityAI,NA,GPT4,379
Human,Human,ZeroGPT,Yes,Human,295
Human,Human,ZeroGPT,Yes,Human,107
Human,Human,ZeroGPT,Yes,Human,798
Human,Human,OriginalityAI,Yes,Human,869
Human,Human,GPTZero,Yes,Human,841
Human,Human,OriginalityAI,Yes,Human,804
Human,AI,HFOpenAI,Yes,Human,185
AI,Human,GPTZero,NA,GPT4,724
Human,Human,ZeroGPT,Yes,Human,843
AI,Human,GPTZero,NA,GPT4,454
Human,Human,Quil,Yes,Human,909
AI,Human,OriginalityAI,NA,GPT4,554
Human,Human,ZeroGPT,Yes,Human,548
AI,AI,ZeroGPT,NA,GPT4,399
AI,Human,HFOpenAI,NA,GPT4,682
AI,Human,HFOpenAI,NA,GPT3,21
Human,Human,Quil,Yes,Human,141
Human,Human,Sapling,Yes,Human,885
Human,Human,GPTZero,No,Human,415
AI,Human,HFOpenAI,NA,GPT3,642
Human,AI,Sapling,No,Human,304
Human,Human,OriginalityAI,Yes,Human,861
AI,Human,Sapling,NA,GPT3,223
Human,Human,Quil,Yes,Human,119
Human,Human,GPTZero,Yes,Human,48
Human,Human,HFOpenAI,Yes,Human,840
Human,Human,GPTZero,Yes,Human,225
AI,Human,HFOpenAI,NA,GPT3,586
Human,Human,Crossplag,No,Human,335
Human,Human,Quil,Yes,Human,79
AI,Human,ZeroGPT,NA,GPT4,561
AI,AI,OriginalityAI,NA,GPT3,676
AI,Human,GPTZero,NA,GPT4,479
AI,Human,OriginalityAI,NA,GPT4,657
Human,Human,OriginalityAI,Yes,Human,751
AI,Human,Sapling,NA,GPT4,106
AI,Human,Sapling,NA,GPT3,642
AI,AI,Quil,NA,GPT3,678
AI,Human,GPTZero,NA,GPT4,925
Human,Human,OriginalityAI,Yes,Human,850
Human,Human,HFOpenAI,Yes,Human,209
Human,Human,HFOpenAI,No,Human,214
Human,Human,HFOpenAI,Yes,Human,361
Human,Human,OriginalityAI,Yes,Human,89
AI,Human,Crossplag,NA,GPT4,923
Human,Human,OriginalityAI,Yes,Human,150
AI,Human,HFOpenAI,NA,GPT4,597
AI,Human,HFOpenAI,NA,GPT4,363
AI,Human,GPTZero,NA,GPT3,384
Human,Human,HFOpenAI,Yes,Human,426
AI,AI,Crossplag,NA,GPT4,95
AI,Human,HFOpenAI,NA,GPT4,238
AI,Human,Crossplag,NA,GPT4,298
AI,AI,GPTZero,NA,GPT3,203
AI,Human,Sapling,NA,GPT4,339
AI,Human,Sapling,NA,GPT4,305
Human,Human,ZeroGPT,Yes,Human,180
AI,Human,GPTZero,NA,GPT3,617
Human,AI,ZeroGPT,No,Human,345
Human,AI,Quil,No,Human,323
AI,Human,Crossplag,NA,GPT4,207
AI,Human,Sapling,NA,GPT4,599
AI,Human,HFOpenAI,NA,GPT4,317
